MAMON,TENMON,GIAHIENTAI,DANHMUC,TRANGTHAIPHUCVU
MON0000179,Your Ramen,272933.34,Ramen,Đã ngưng bán
MON0000180,Mission Sushi,101317.75,Drinks,Đã ngưng bán
MON0000181,Money Sushi,364750.3,Dessert,Có phục vụ
MON0000182,You Drinks,75666.09,Drinks,Có phục vụ
MON0000183,Of Dessert,418451.19,Ramen,Tạm hết
MON0000184,Phone Sashimi,161552.97,Tempura,Đã ngưng bán
MON0000185,Seven Ramen,111470.88,Ramen,Có phục vụ
MON0000186,True Dessert,394180.23,Ramen,Đã ngưng bán
MON0000187,Occur Sashimi,120458.97,Dessert,Có phục vụ
MON0000188,Why Ramen,404882.61,Sushi,Có phục vụ
MON0000189,Television Ramen,96104.13,Ramen,Có phục vụ
MON0000190,Pay Drinks,303420.03,Ramen,Tạm hết
MON0000191,Morning Tempura,400704.02,Sushi,Có phục vụ
MON0000192,Music Ramen,468570.81,Tempura,Tạm hết
MON0000193,Wall Ramen,106029.22,Ramen,Tạm hết
MON0000194,Method Dessert,183964.02,Sushi,Đã ngưng bán
MON0000195,Man Dessert,474172.36,Sashimi,Tạm hết
MON0000196,Way Drinks,136541.63,Sushi,Tạm hết
MON0000197,Store Drinks,162136.49,Drinks,Có phục vụ
MON0000198,Author Ramen,447916.25,Dessert,Tạm hết
MON0000199,Successful Dessert,237552.49,Sushi,Có phục vụ
MON0000200,Can Dessert,458223.14,Drinks,Đã ngưng bán
