MANHANVIEN,MABOPHAN,MACHINHANH,NGAYVAOLAM,NGAYNGHIVIEC,HESOLUONG
NV00000052,BOPHAN0003,CN00000002,2018-08-08,,1.21
NV00000023,BOPHAN0002,CN00000007,2018-09-07,2019-01-04,1.63
NV00000038,BOPHAN0004,CN00000008,2019-07-02,,1.14
NV00000036,BOPHAN0004,CN00000010,2010-08-20,,1.18
NV00000069,BOPHAN0001,CN00000008,2012-05-18,,1.15
NV00000198,BOPHAN0002,CN00000004,2013-05-24,2013-07-12,1.48
NV00000010,BOPHAN0003,CN00000005,2018-05-21,2019-06-16,1.39
NV00000197,BOPHAN0001,CN00000008,2013-06-11,,1.03
NV00000049,BOPHAN0004,CN00000002,2018-10-19,2021-04-15,1.59
NV00000114,BOPHAN0002,CN00000001,2011-12-20,,1.99
NV00000012,BOPHAN0003,CN00000001,2013-05-11,,1.9
NV00000045,BOPHAN0003,CN00000005,2013-02-06,2014-09-24,1.58
NV00000111,BOPHAN0002,CN00000009,2015-02-03,,1.88
NV00000008,BOPHAN0003,CN00000004,2014-10-29,,1.42
NV00000027,BOPHAN0003,CN00000010,2019-08-08,2022-01-18,1.37
NV00000119,BOPHAN0001,CN00000005,2010-06-21,2011-03-05,1.5
NV00000195,BOPHAN0001,CN00000010,2019-06-03,2021-05-02,1.2
NV00000073,BOPHAN0004,CN00000005,2019-04-09,,1.57
NV00000100,BOPHAN0001,CN00000001,2014-05-06,,1.13
NV00000107,BOPHAN0002,CN00000010,2015-01-13,,1.61
NV00000035,BOPHAN0004,CN00000008,2014-02-12,,1.52
NV00000128,BOPHAN0001,CN00000004,2014-03-29,,1.52
NV00000041,BOPHAN0004,CN00000010,2014-06-19,2015-09-01,1.22
NV00000161,BOPHAN0002,CN00000006,2016-07-05,,1.59
NV00000192,BOPHAN0002,CN00000009,2019-09-15,2021-05-10,1.54
NV00000120,BOPHAN0002,CN00000005,2017-04-02,2018-10-06,1.73
NV00000055,BOPHAN0001,CN00000001,2019-06-28,,1.94
NV00000056,BOPHAN0001,CN00000008,2014-04-01,2016-06-19,1.13
NV00000151,BOPHAN0001,CN00000009,2010-06-12,2012-04-15,1.12
NV00000062,BOPHAN0003,CN00000001,2016-12-31,,1.78
NV00000054,BOPHAN0002,CN00000008,2019-01-24,2020-11-01,1.76
NV00000126,BOPHAN0001,CN00000006,2017-06-26,2019-03-29,1.45
NV00000026,BOPHAN0002,CN00000009,2018-07-06,2019-04-28,1.81
NV00000151,BOPHAN0002,CN00000006,2019-12-14,,1.39
NV00000106,BOPHAN0002,CN00000003,2018-07-31,,1.31
NV00000087,BOPHAN0002,CN00000004,2011-01-06,2012-04-19,1.72
NV00000197,BOPHAN0004,CN00000006,2018-11-13,2018-11-20,1.24
NV00000173,BOPHAN0003,CN00000002,2011-08-26,,1.6
NV00000133,BOPHAN0003,CN00000008,2012-04-20,2014-10-22,1.51
NV00000115,BOPHAN0003,CN00000007,2016-08-23,2017-01-13,1.49
NV00000185,BOPHAN0002,CN00000003,2014-06-15,,1.04
NV00000170,BOPHAN0002,CN00000002,2013-11-13,2014-02-18,1.77
NV00000154,BOPHAN0004,CN00000006,2013-10-08,,1.19
NV00000011,BOPHAN0003,CN00000001,2015-05-02,,1.78
NV00000123,BOPHAN0001,CN00000007,2015-01-05,2015-09-12,1.1
NV00000184,BOPHAN0003,CN00000003,2016-02-10,,1.32
NV00000050,BOPHAN0002,CN00000007,2019-03-20,,1.6
NV00000197,BOPHAN0002,CN00000010,2016-06-07,2016-07-09,1.34
NV00000126,BOPHAN0002,CN00000008,2012-11-22,,1.78
NV00000087,BOPHAN0001,CN00000005,2013-09-17,2014-01-17,1.19
NV00000187,BOPHAN0001,CN00000003,2015-04-16,2016-06-07,1.71
NV00000010,BOPHAN0002,CN00000009,2018-02-20,2018-05-25,1.36
NV00000080,BOPHAN0003,CN00000005,2013-07-19,2014-08-29,1.02
NV00000017,BOPHAN0001,CN00000003,2017-05-17,,1.81
NV00000155,BOPHAN0002,CN00000009,2013-11-07,,1.38
NV00000014,BOPHAN0002,CN00000005,2015-06-05,2016-04-30,1.11
NV00000166,BOPHAN0001,CN00000002,2011-01-12,,1.83
NV00000162,BOPHAN0003,CN00000006,2012-02-14,,1.99
NV00000066,BOPHAN0003,CN00000005,2016-03-29,,1.43
NV00000173,BOPHAN0003,CN00000005,2010-09-21,,1.64
NV00000107,BOPHAN0001,CN00000002,2018-07-12,2021-02-28,1.26
NV00000057,BOPHAN0002,CN00000002,2018-05-18,,1.97
NV00000192,BOPHAN0002,CN00000003,2016-10-22,,1.1
NV00000196,BOPHAN0002,CN00000005,2011-11-10,2012-08-07,1.04
NV00000171,BOPHAN0004,CN00000010,2016-05-28,2017-04-16,1.19
NV00000053,BOPHAN0001,CN00000009,2010-05-30,,1.58
NV00000114,BOPHAN0002,CN00000006,2014-12-24,2017-05-07,1.4
NV00000123,BOPHAN0002,CN00000001,2015-02-16,2015-05-28,1.03
NV00000052,BOPHAN0002,CN00000009,2019-09-28,,1.81
NV00000146,BOPHAN0002,CN00000002,2017-08-06,2019-02-09,1.93
NV00000075,BOPHAN0002,CN00000004,2018-04-10,2020-04-26,1.4
NV00000133,BOPHAN0003,CN00000007,2010-02-11,,1.17
NV00000074,BOPHAN0003,CN00000007,2015-02-19,,1.57
NV00000020,BOPHAN0001,CN00000010,2019-07-15,,1.2
NV00000187,BOPHAN0001,CN00000004,2018-01-01,,1.07
NV00000162,BOPHAN0004,CN00000001,2019-12-11,,1.59
NV00000119,BOPHAN0001,CN00000002,2012-04-02,,1.42
NV00000141,BOPHAN0003,CN00000005,2016-07-12,,1.42
NV00000045,BOPHAN0001,CN00000009,2014-07-13,2016-06-14,1.49
NV00000140,BOPHAN0003,CN00000010,2012-07-11,,1.76
NV00000150,BOPHAN0002,CN00000002,2013-02-26,2014-10-28,1.24
NV00000056,BOPHAN0004,CN00000003,2018-04-12,,1.8
NV00000111,BOPHAN0002,CN00000002,2018-07-29,,1.38
NV00000191,BOPHAN0004,CN00000009,2016-01-11,2018-07-22,1.41
NV00000086,BOPHAN0003,CN00000004,2012-09-25,2013-03-31,1.33
NV00000168,BOPHAN0003,CN00000002,2017-09-02,2017-12-30,1.38
NV00000016,BOPHAN0003,CN00000003,2011-01-16,,1.39
NV00000151,BOPHAN0004,CN00000005,2016-10-16,2017-10-16,1.23
NV00000095,BOPHAN0003,CN00000006,2017-08-05,2017-12-08,1.74
NV00000152,BOPHAN0001,CN00000010,2011-05-23,,1.28
NV00000200,BOPHAN0003,CN00000003,2016-02-07,,1.07
NV00000177,BOPHAN0004,CN00000004,2010-11-01,,1.31
NV00000018,BOPHAN0003,CN00000006,2011-06-28,,1.22
NV00000108,BOPHAN0002,CN00000005,2015-09-17,2017-08-30,1.49
NV00000065,BOPHAN0004,CN00000001,2017-03-18,,1.59
NV00000066,BOPHAN0003,CN00000008,2015-08-29,,1.74
NV00000168,BOPHAN0001,CN00000007,2012-04-14,2013-06-11,1.31
NV00000198,BOPHAN0003,CN00000001,2016-11-20,,1.31
NV00000084,BOPHAN0002,CN00000004,2013-04-12,2015-04-27,1.17
NV00000186,BOPHAN0002,CN00000001,2015-04-30,2016-12-11,1.94
NV00000162,BOPHAN0004,CN00000004,2017-07-21,2017-10-29,1.87
NV00000126,BOPHAN0004,CN00000006,2015-10-22,,1.49
NV00000019,BOPHAN0002,CN00000001,2010-08-02,2011-12-24,1.99
NV00000134,BOPHAN0003,CN00000004,2019-03-09,2019-09-19,1.68
NV00000117,BOPHAN0004,CN00000001,2017-05-08,,1.76
NV00000065,BOPHAN0002,CN00000008,2014-08-06,,1.83
NV00000022,BOPHAN0002,CN00000010,2019-06-28,,1.37
NV00000166,BOPHAN0002,CN00000005,2014-07-29,,1.79
NV00000022,BOPHAN0002,CN00000004,2015-07-22,2016-01-21,1.31
NV00000159,BOPHAN0002,CN00000005,2010-06-05,2012-06-28,1.25
NV00000047,BOPHAN0001,CN00000008,2013-08-28,2015-06-30,1.81
NV00000093,BOPHAN0002,CN00000008,2018-09-27,2020-10-17,1.25
NV00000079,BOPHAN0004,CN00000002,2013-06-15,2015-08-05,1.76
NV00000166,BOPHAN0003,CN00000007,2017-11-01,2019-01-06,1.05
NV00000059,BOPHAN0001,CN00000005,2015-02-05,,1.86
NV00000137,BOPHAN0001,CN00000001,2018-01-31,2019-09-10,1.05
NV00000121,BOPHAN0001,CN00000009,2014-07-02,,1.23
NV00000079,BOPHAN0004,CN00000010,2013-12-31,2014-11-07,1.21
NV00000161,BOPHAN0001,CN00000008,2014-11-25,2015-12-23,1.23
NV00000075,BOPHAN0002,CN00000002,2012-08-28,,1.18
NV00000006,BOPHAN0003,CN00000002,2012-03-22,2012-10-26,1.73
NV00000164,BOPHAN0002,CN00000005,2013-09-24,2014-02-01,1.07
NV00000143,BOPHAN0001,CN00000008,2011-07-31,2014-02-27,1.93
NV00000051,BOPHAN0001,CN00000010,2016-02-12,,1.22
NV00000161,BOPHAN0003,CN00000005,2012-03-22,,1.97
NV00000134,BOPHAN0001,CN00000008,2014-10-12,,1.75
NV00000173,BOPHAN0004,CN00000003,2015-10-30,,1.44
NV00000114,BOPHAN0003,CN00000008,2011-07-08,,1.38
NV00000181,BOPHAN0002,CN00000006,2011-08-26,2012-10-28,1.84
NV00000015,BOPHAN0003,CN00000001,2014-09-09,,1.0
NV00000008,BOPHAN0003,CN00000007,2011-07-23,2012-05-03,1.38
NV00000109,BOPHAN0003,CN00000005,2016-07-18,2017-08-08,1.63
NV00000064,BOPHAN0004,CN00000008,2019-09-30,2021-04-19,1.52
NV00000161,BOPHAN0002,CN00000007,2011-12-26,,1.02
NV00000042,BOPHAN0001,CN00000002,2012-04-01,,1.54
NV00000049,BOPHAN0004,CN00000009,2011-05-16,2013-11-06,1.08
NV00000011,BOPHAN0004,CN00000006,2019-08-23,,1.64
NV00000066,BOPHAN0004,CN00000009,2015-06-01,,1.28
NV00000179,BOPHAN0001,CN00000002,2015-01-02,2017-02-17,1.57
NV00000136,BOPHAN0003,CN00000003,2013-07-18,2014-08-14,1.47
NV00000194,BOPHAN0001,CN00000002,2017-06-22,2019-04-26,1.37
NV00000200,BOPHAN0003,CN00000009,2017-07-01,2019-01-14,1.66
NV00000068,BOPHAN0001,CN00000001,2014-06-28,,1.6
NV00000036,BOPHAN0001,CN00000003,2018-09-14,2021-05-09,1.39
NV00000165,BOPHAN0001,CN00000010,2014-05-16,,1.83
NV00000026,BOPHAN0002,CN00000008,2017-06-10,2017-09-26,1.39
NV00000036,BOPHAN0004,CN00000001,2016-06-26,2018-06-09,1.28
NV00000050,BOPHAN0004,CN00000004,2016-01-18,,1.74
NV00000157,BOPHAN0001,CN00000006,2016-02-26,2018-02-06,1.86
NV00000093,BOPHAN0003,CN00000009,2011-09-22,,1.16
NV00000074,BOPHAN0003,CN00000002,2012-03-04,,1.17
NV00000075,BOPHAN0003,CN00000003,2018-10-21,2019-11-09,1.51
NV00000189,BOPHAN0003,CN00000007,2013-12-09,2015-01-07,1.15
NV00000102,BOPHAN0003,CN00000010,2016-06-18,,1.75
NV00000199,BOPHAN0004,CN00000010,2019-09-07,,1.79
NV00000124,BOPHAN0002,CN00000007,2019-11-10,,1.86
NV00000134,BOPHAN0004,CN00000006,2015-03-16,2016-03-01,1.1
