MAHOADON,GIOLAP,NGAYLAP,VAT,TIENKHACHDUA,TRANGTHAI,PHUONGTHUC,BACTHETHANHVIEN,MAKHUYENMAI,TONGTIEN
HD00000063,08:06:00,2024-02-08,0.1,730000,Chưa thanh toán,Tiền mặt,NV00063,KM00063,1638854.91
HD00000064,16:50:00,2024-02-18,0.05,740000,Đã thanh toán,Chuyển khoản,NV00064,KM00064,1640595.13
HD00000065,10:05:00,2024-07-28,0.1,750000,Chưa thanh toán,Chuyển khoản,NV00065,KM00065,8761029.99
HD00000066,12:28:00,2024-07-02,0.05,760000,Đã thanh toán,Tiền mặt,NV00066,KM00066,3088195.53
HD00000067,18:24:00,2024-06-12,0.1,770000,Chưa thanh toán,Chuyển khoản,NV00067,KM00067,1103703.32
HD00000068,14:05:00,2024-01-02,0.05,780000,Đã thanh toán,Chuyển khoản,NV00068,KM00068,4171979.36
HD00000069,18:36:00,2024-09-11,0.1,790000,Chưa thanh toán,Tiền mặt,NV00069,KM00069,4159589.37
HD00000070,09:14:00,2024-09-07,0.05,800000,Đã thanh toán,Chuyển khoản,NV00070,KM00070,500130.29
HD00000071,13:44:00,2024-05-19,0.1,810000,Chưa thanh toán,Chuyển khoản,NV00071,KM00071,1745256.79
HD00000072,12:15:00,2024-07-28,0.05,820000,Đã thanh toán,Tiền mặt,NV00072,KM00072,112370.54
HD00000073,15:33:00,2024-12-07,0.1,830000,Chưa thanh toán,Chuyển khoản,NV00073,KM00073,5385164.57
HD00000074,12:12:00,2024-04-22,0.05,840000,Đã thanh toán,Chuyển khoản,NV00074,KM00074,1212416.16
HD00000075,18:35:00,2024-01-23,0.1,850000,Chưa thanh toán,Tiền mặt,NV00075,KM00075,2911727.21
HD00000076,08:01:00,2024-08-02,0.05,860000,Đã thanh toán,Chuyển khoản,NV00076,KM00076,436146.7
HD00000077,10:01:00,2024-06-28,0.1,870000,Chưa thanh toán,Chuyển khoản,NV00077,KM00077,2299912.62
HD00000078,13:19:00,2024-04-03,0.05,880000,Đã thanh toán,Tiền mặt,NV00078,KM00078,2906944.68
HD00000079,14:25:00,2024-05-11,0.1,890000,Chưa thanh toán,Chuyển khoản,NV00079,KM00079,4054765.87
HD00000080,10:20:00,2024-05-10,0.05,900000,Đã thanh toán,Chuyển khoản,NV00080,KM00080,440057.02
HD00000081,15:47:00,2024-09-05,0.1,910000,Chưa thanh toán,Tiền mặt,NV00081,KM00081,182895.04
HD00000082,17:25:00,2024-02-26,0.05,920000,Đã thanh toán,Chuyển khoản,NV00082,KM00082,9289056.73
HD00000083,19:33:00,2024-04-15,0.1,930000,Chưa thanh toán,Chuyển khoản,NV00083,KM00083,2302468.52
HD00000084,13:40:00,2024-11-13,0.05,940000,Đã thanh toán,Tiền mặt,NV00084,KM00084,6682006.17
HD00000085,08:33:00,2024-07-14,0.1,950000,Chưa thanh toán,Chuyển khoản,NV00085,KM00085,331648.24
HD00000086,11:20:00,2024-01-01,0.05,960000,Đã thanh toán,Chuyển khoản,NV00086,KM00086,647506.18
HD00000087,10:57:00,2024-01-25,0.1,970000,Chưa thanh toán,Tiền mặt,NV00087,KM00087,271423.25
HD00000088,16:46:00,2024-07-09,0.05,980000,Đã thanh toán,Chuyển khoản,NV00088,KM00088,1886894.27
HD00000089,14:58:00,2024-03-27,0.1,990000,Chưa thanh toán,Chuyển khoản,NV00089,KM00089,3891595.46
HD00000090,12:02:00,2024-03-22,0.05,1000000,Đã thanh toán,Tiền mặt,NV00090,KM00090,733348.98
HD00000091,16:50:00,2024-10-16,0.1,1010000,Chưa thanh toán,Chuyển khoản,NV00091,KM00091,1778569.85
HD00000092,14:41:00,2024-08-30,0.05,1020000,Đã thanh toán,Chuyển khoản,NV00092,KM00092,308868.54
HD00000093,09:18:00,2024-10-02,0.1,1030000,Chưa thanh toán,Tiền mặt,NV00093,KM00093,767506.87
HD00000094,10:13:00,2024-09-12,0.05,1040000,Đã thanh toán,Chuyển khoản,NV00094,KM00094,1818624.24
HD00000095,18:59:00,2024-01-19,0.1,1050000,Chưa thanh toán,Chuyển khoản,NV00095,KM00095,972404.91
HD00000096,17:00:00,2024-05-21,0.05,1060000,Đã thanh toán,Tiền mặt,NV00096,KM00096,9144991.52
HD00000097,13:47:00,2024-01-28,0.1,1070000,Chưa thanh toán,Chuyển khoản,NV00097,KM00097,372689.53
HD00000098,13:40:00,2024-01-22,0.05,1080000,Đã thanh toán,Chuyển khoản,NV00098,KM00098,6146882.69
HD00000099,13:49:00,2024-07-01,0.1,1090000,Chưa thanh toán,Tiền mặt,NV00099,KM00099,3045696.52
HD00000100,15:34:00,2024-03-16,0.05,1100000,Đã thanh toán,Chuyển khoản,NV00100,KM00100,6272101.02
HD00000101,14:26:00,2024-10-07,0.1,1110000,Chưa thanh toán,Chuyển khoản,NV00101,KM00101,1589904.89
HD00000102,08:37:00,2024-01-08,0.05,1120000,Đã thanh toán,Tiền mặt,NV00102,KM00102,2144545.29
HD00000103,15:36:00,2024-10-09,0.1,1130000,Chưa thanh toán,Chuyển khoản,NV00103,KM00103,4744406.3
HD00000104,11:13:00,2024-11-27,0.05,1140000,Đã thanh toán,Chuyển khoản,NV00104,KM00104,4141928.1
HD00000105,10:00:00,2024-05-21,0.1,1150000,Chưa thanh toán,Tiền mặt,NV00105,KM00105,1054427.53
HD00000106,18:20:00,2024-10-01,0.05,1160000,Đã thanh toán,Chuyển khoản,NV00106,KM00106,4743028.16
HD00000107,15:36:00,2024-01-14,0.1,1170000,Chưa thanh toán,Chuyển khoản,NV00107,KM00107,1099890.5
HD00000108,17:40:00,2024-03-13,0.05,1180000,Đã thanh toán,Tiền mặt,NV00108,KM00108,382731.72
HD00000109,16:00:00,2024-02-20,0.1,1190000,Chưa thanh toán,Chuyển khoản,NV00109,KM00109,971964.08
HD00000110,11:39:00,2024-07-08,0.05,1200000,Đã thanh toán,Chuyển khoản,NV00110,KM00110,2320511.71
HD00000111,12:28:00,2024-10-05,0.1,1210000,Chưa thanh toán,Tiền mặt,NV00111,KM00111,1109820.08
HD00000112,19:29:00,2024-05-12,0.05,1220000,Đã thanh toán,Chuyển khoản,NV00112,KM00112,484759.78
HD00000113,09:52:00,2024-11-26,0.1,1230000,Chưa thanh toán,Chuyển khoản,NV00113,KM00113,2030247.08
HD00000114,08:07:00,2024-05-17,0.05,1240000,Đã thanh toán,Tiền mặt,NV00114,KM00114,2703490.08
HD00000115,14:14:00,2024-07-16,0.1,1250000,Chưa thanh toán,Chuyển khoản,NV00115,KM00115,264780.07
HD00000116,12:36:00,2024-03-07,0.05,1260000,Đã thanh toán,Chuyển khoản,NV00116,KM00116,973682.17
HD00000117,12:20:00,2024-06-01,0.1,1270000,Chưa thanh toán,Tiền mặt,NV00117,KM00117,2646008.9
HD00000118,11:22:00,2024-10-10,0.05,1280000,Đã thanh toán,Chuyển khoản,NV00118,KM00118,6638782.54
HD00000119,13:10:00,2024-01-03,0.1,1290000,Chưa thanh toán,Chuyển khoản,NV00119,KM00119,231126.12
HD00000120,12:56:00,2024-06-12,0.05,1300000,Đã thanh toán,Tiền mặt,NV00120,KM00120,1053534.98
HD00000121,16:56:00,2024-11-07,0.1,1310000,Chưa thanh toán,Chuyển khoản,NV00121,KM00121,2740600.41
HD00000122,16:27:00,2024-12-15,0.05,1320000,Đã thanh toán,Chuyển khoản,NV00122,KM00122,7903134.89
HD00000123,13:20:00,2024-03-23,0.1,1330000,Chưa thanh toán,Tiền mặt,NV00123,KM00123,2034548.74
HD00000124,17:12:00,2024-03-11,0.05,1340000,Đã thanh toán,Chuyển khoản,NV00124,KM00124,1000260.58
HD00000125,16:27:00,2024-05-03,0.1,1350000,Chưa thanh toán,Chuyển khoản,NV00125,KM00125,3168953.37
HD00000126,08:52:00,2024-01-23,0.05,1360000,Đã thanh toán,Tiền mặt,NV00126,KM00126,318738.05
HD00000127,14:12:00,2024-01-18,0.1,1370000,Chưa thanh toán,Chuyển khoản,NV00127,KM00127,24193.78
HD00000128,18:12:00,2024-09-15,0.05,1380000,Đã thanh toán,Chuyển khoản,NV00128,KM00128,3029779.03
HD00000129,08:32:00,2024-03-28,0.1,1390000,Chưa thanh toán,Tiền mặt,NV00129,KM00129,6851501.03
HD00000130,13:13:00,2024-07-22,0.05,1400000,Đã thanh toán,Chuyển khoản,NV00130,KM00130,4852738.38
HD00000131,08:04:00,2024-07-07,0.1,1410000,Chưa thanh toán,Chuyển khoản,NV00131,KM00131,238765.01
HD00000132,11:23:00,2024-02-22,0.05,1420000,Đã thanh toán,Tiền mặt,NV00132,KM00132,2418866.1
HD00000133,08:03:00,2024-08-12,0.1,1430000,Chưa thanh toán,Chuyển khoản,NV00133,KM00133,3268024.55
HD00000134,19:55:00,2024-05-30,0.05,1440000,Đã thanh toán,Chuyển khoản,NV00134,KM00134,182329.64
HD00000135,15:35:00,2024-09-26,0.1,1450000,Chưa thanh toán,Tiền mặt,NV00135,KM00135,2749949.93
HD00000136,18:43:00,2024-10-12,0.05,1460000,Đã thanh toán,Chuyển khoản,NV00136,KM00136,3868178.58
HD00000137,11:54:00,2024-02-03,0.1,1470000,Chưa thanh toán,Chuyển khoản,NV00137,KM00137,692356.5
HD00000138,12:37:00,2024-10-02,0.05,1480000,Đã thanh toán,Tiền mặt,NV00138,KM00138,4529245.52
HD00000139,11:19:00,2024-01-15,0.1,1490000,Chưa thanh toán,Chuyển khoản,NV00139,KM00139,341456.79
HD00000140,13:22:00,2024-02-03,0.05,1500000,Đã thanh toán,Chuyển khoản,NV00140,KM00140,802340.7
HD00000141,17:05:00,2024-11-09,0.1,1510000,Chưa thanh toán,Tiền mặt,NV00141,KM00141,1242221.66
HD00000142,12:24:00,2024-03-30,0.05,1520000,Đã thanh toán,Chuyển khoản,NV00142,KM00142,827843.18
HD00000143,09:35:00,2024-05-18,0.1,1530000,Chưa thanh toán,Chuyển khoản,NV00143,KM00143,278578.15
HD00000144,08:40:00,2024-06-12,0.05,1540000,Đã thanh toán,Tiền mặt,NV00144,KM00144,1416925.72
HD00000145,08:33:00,2024-07-02,0.1,1550000,Chưa thanh toán,Chuyển khoản,NV00145,KM00145,1927547.99
HD00000146,12:19:00,2024-04-18,0.05,1560000,Đã thanh toán,Chuyển khoản,NV00146,KM00146,308035.25
HD00000147,11:50:00,2024-06-30,0.1,1570000,Chưa thanh toán,Tiền mặt,NV00147,KM00147,2635781.28
HD00000148,15:04:00,2024-09-19,0.05,1580000,Đã thanh toán,Chuyển khoản,NV00148,KM00148,161658.47
HD00000149,12:04:00,2024-06-24,0.1,1590000,Chưa thanh toán,Chuyển khoản,NV00149,KM00149,633512.55
HD00000150,15:47:00,2024-10-30,0.05,1600000,Đã thanh toán,Tiền mặt,NV00150,KM00150,1546951.33
HD00000151,11:40:00,2024-12-14,0.1,1610000,Chưa thanh toán,Chuyển khoản,NV00151,KM00151,633512.55
HD00000152,12:54:00,2024-05-01,0.05,1620000,Đã thanh toán,Chuyển khoản,NV00152,KM00152,8360151.06
HD00000153,15:46:00,2024-07-15,0.1,1630000,Chưa thanh toán,Tiền mặt,NV00153,KM00153,2337849.76
HD00000154,18:08:00,2024-04-24,0.05,1640000,Đã thanh toán,Chuyển khoản,NV00154,KM00154,3935409.35
HD00000155,18:24:00,2024-10-12,0.1,1650000,Chưa thanh toán,Chuyển khoản,NV00155,KM00155,779283.25
HD00000156,09:03:00,2024-06-12,0.05,1660000,Đã thanh toán,Tiền mặt,NV00156,KM00156,3557271.12
HD00000157,19:07:00,2024-08-08,0.1,1670000,Chưa thanh toán,Chuyển khoản,NV00157,KM00157,1865325.83
HD00000158,16:08:00,2024-11-16,0.05,1680000,Đã thanh toán,Chuyển khoản,NV00158,KM00158,960970.59
HD00000159,10:49:00,2024-06-24,0.1,1690000,Chưa thanh toán,Tiền mặt,NV00159,KM00159,2628471.56
HD00000160,17:12:00,2024-10-30,0.05,1700000,Đã thanh toán,Chuyển khoản,NV00160,KM00160,1804776.55
HD00000161,12:58:00,2024-06-29,0.1,1710000,Chưa thanh toán,Chuyển khoản,NV00161,KM00161,1893931.58
HD00000162,09:03:00,2024-03-12,0.05,1720000,Đã thanh toán,Tiền mặt,NV00162,KM00162,370300.58
HD00000163,17:08:00,2024-05-04,0.1,1730000,Chưa thanh toán,Chuyển khoản,NV00163,KM00163,2966306.97
HD00000164,12:19:00,2024-05-11,0.05,1740000,Đã thanh toán,Chuyển khoản,NV00164,KM00164,1351621.28
HD00000165,16:49:00,2024-06-24,0.1,1750000,Chưa thanh toán,Tiền mặt,NV00165,KM00165,621149.21
HD00000166,12:14:00,2024-01-24,0.05,1760000,Đã thanh toán,Chuyển khoản,NV00166,KM00166,3679864.34
HD00000167,14:35:00,2024-10-10,0.1,1770000,Chưa thanh toán,Chuyển khoản,NV00167,KM00167,3060143.96
HD00000168,15:59:00,2024-09-10,0.05,1780000,Đã thanh toán,Tiền mặt,NV00168,KM00168,1840856.93
HD00000169,18:08:00,2024-09-21,0.1,1790000,Chưa thanh toán,Chuyển khoản,NV00169,KM00169,1015687.16
HD00000170,19:17:00,2024-06-25,0.05,1800000,Đã thanh toán,Chuyển khoản,NV00170,KM00170,382731.72
HD00000171,19:25:00,2024-04-16,0.1,1810000,Chưa thanh toán,Tiền mặt,NV00171,KM00171,3302890.1
HD00000172,16:06:00,2024-05-10,0.05,1820000,Đã thanh toán,Chuyển khoản,NV00172,KM00172,2418866.1
HD00000173,16:02:00,2024-08-30,0.1,1830000,Chưa thanh toán,Chuyển khoản,NV00173,KM00173,5096005.97
HD00000174,19:13:00,2024-05-21,0.05,1840000,Đã thanh toán,Tiền mặt,NV00174,KM00174,4360883.66
HD00000175,12:11:00,2024-05-15,0.1,1850000,Chưa thanh toán,Chuyển khoản,NV00175,KM00175,1153745.64
HD00000176,18:39:00,2024-03-30,0.05,1860000,Đã thanh toán,Chuyển khoản,NV00176,KM00176,1487722.57
HD00000177,16:20:00,2024-03-09,0.1,1870000,Chưa thanh toán,Tiền mặt,NV00177,KM00177,2570063.98
HD00000178,11:17:00,2024-04-23,0.05,1880000,Đã thanh toán,Chuyển khoản,NV00178,KM00178,4150149.64
HD00000179,15:17:00,2024-07-16,0.1,1890000,Chưa thanh toán,Chuyển khoản,NV00179,KM00179,819639.39
HD00000180,16:19:00,2024-11-09,0.05,1900000,Đã thanh toán,Tiền mặt,NV00180,KM00180,2382828.1
HD00000181,09:33:00,2024-10-04,0.1,1910000,Chưa thanh toán,Chuyển khoản,NV00181,KM00181,613959.57
HD00000182,14:05:00,2024-04-08,0.05,1920000,Đã thanh toán,Chuyển khoản,NV00182,KM00182,1939039.12
HD00000183,15:20:00,2024-03-23,0.1,1930000,Chưa thanh toán,Tiền mặt,NV00183,KM00183,5734058.72
HD00000184,13:11:00,2024-11-06,0.05,1940000,Đã thanh toán,Chuyển khoản,NV00184,KM00184,3078909.7
HD00000185,18:19:00,2024-06-11,0.1,1950000,Chưa thanh toán,Chuyển khoản,NV00185,KM00185,343743.74
HD00000186,09:18:00,2024-05-24,0.05,1960000,Đã thanh toán,Tiền mặt,NV00186,KM00186,5200586.65
HD00000187,16:22:00,2024-05-24,0.1,1970000,Chưa thanh toán,Chuyển khoản,NV00187,KM00187,5600157.55
HD00000188,19:17:00,2024-06-15,0.05,1980000,Đã thanh toán,Chuyển khoản,NV00188,KM00188,2419928.03
HD00000189,09:25:00,2024-11-15,0.1,1990000,Chưa thanh toán,Tiền mặt,NV00189,KM00189,7004871.82
HD00000190,14:14:00,2024-05-31,0.05,2000000,Đã thanh toán,Chuyển khoản,NV00190,KM00190,69282.2
HD00000191,18:39:00,2024-05-05,0.1,2010000,Chưa thanh toán,Chuyển khoản,NV00191,KM00191,412280.98
HD00000192,11:44:00,2024-07-14,0.05,2020000,Đã thanh toán,Tiền mặt,NV00192,KM00192,3876341.03
HD00000193,16:13:00,2024-08-05,0.1,2030000,Chưa thanh toán,Chuyển khoản,NV00193,KM00193,3955075.96
HD00000194,12:02:00,2024-02-19,0.05,2040000,Đã thanh toán,Chuyển khoản,NV00194,KM00194,3270034.58
HD00000195,09:29:00,2024-09-12,0.1,2050000,Chưa thanh toán,Tiền mặt,NV00195,KM00195,4968886.65
HD00000196,12:56:00,2024-04-11,0.05,2060000,Đã thanh toán,Chuyển khoản,NV00196,KM00196,2562977.59
HD00000197,11:12:00,2024-01-09,0.1,2070000,Chưa thanh toán,Chuyển khoản,NV00197,KM00197,329969.3
HD00000198,13:14:00,2024-04-26,0.05,2080000,Đã thanh toán,Tiền mặt,NV00198,KM00198,223052.12
HD00000199,09:36:00,2024-03-08,0.1,2090000,Chưa thanh toán,Chuyển khoản,NV00199,KM00199,3240922.45
HD00000200,17:23:00,2024-10-06,0.05,2100000,Đã thanh toán,Chuyển khoản,NV00200,KM00200,901080.85
